File Name,Morning,Evening
2025-11-24,"Went to the nail salon, saw Julia's daughter there.",Facetimed Dakota in the afternoon; she just got back from London so she was a bit jet lagged.
2025-11-25,Will came to do Tai Chi with me. I felt very well after that.,"I spent all afternoon reading and I finally finished my book, I didn't like the end very much."
2025-11-26,"Melanie came to have lunch with me, she was telling me about her dinner last night with Demi.","Went for a walk to Shambala, Juny is doing better, Dan told me that she will be done witht he medication soon and she will be able to join the rest of the streak."
2025-11-27,"I went to Melanie's house early to be around for all the preparation. We had the Macy's parade on the TV,  one of the balloons got dettached and they had to chase it.","We celebrated Thanksgiving, I love when we get together though is sad that Stella couldn't join us this year."
2025-11-28,"Spent some time working on my painting, I made some progress today with the roses.","I did some gardening, my peonies needed some pruning."
2025-11-29,Stella facetimed me while I was having breakfast. I was happy to see her. She looks very happy with Alex.,I spent a couple of hours in the afternoon going through the old photo albums. I was thinking that I should start doing scrapbooks again.
2025-11-30,"Went for a walk to Shambala, Juny has now joined the rest of the streak, she look so much better and happier now.","Went out for lunch with Melanie, we went to my favorite restaurant, Crossroads Kitchen, I had my usual, Spicy Rigatoni Vodka."
2025-12-01,"Went to the book club meeting. Alicia, like me, didn't like the ending.",Spent some time working on my painting but I ran out of red so I had to stop.
2025-12-02,Will came to do Tai Chi with me. My knee started to hurt a little so we had to stop.,"I re-watched my favorite film: Gone with the Wind, I don't get tired of watching this movie."
2025-12-03,I spent some time de-cluttering my closet. I found the dress I wore for the Hollywood Reporter photo session with Dakota and Don. I tried it on and it's now a bit too lose for me.,Hung out with Dakota; we went to her place and baked together.
2025-12-04,"I woke up craving Eggs Benedict, so I told Mary, and she prepared some for me. It was delicious.","I went to the club in the afternoon, I saw Ann and Karen and we played domino for a while. Ann won almost all the hands but I won the last one."
2025-12-05,"I went to the club to do some aqua aerobics. I joined the 10 am class, Sandy was there all the time to help me out.",Alexander came to have dinner with me. He brought chicken parmigiana from Dan Tana's.
2025-12-06,"Melanie came to have breakfast with me, we had avocado toast and squash frittata. ",Melanie took me to the theater to see Dakota's last movie. I really liked it and I think she was incredible in it. 
2025-12-07,"After lunch, I spent a couple of hours reading, we started to read Before the coffee gets cold for the book club.","Went for a walk to Shambala, I ran into Esteban while I was there."
